"productkey","englishproductname","modelname","englishproductcategoryname","englishproductsubcategoryname"
412,"HL Mountain Front Wheel","HL Mountain Front Wheel","Components","Wheels"
413,"LL Road Front Wheel","LL Road Front Wheel","Components","Wheels"
414,"ML Road Front Wheel","ML Road Front Wheel","Components","Wheels"
415,"HL Road Front Wheel","HL Road Front Wheel","Components","Wheels"
416,"Touring Front Wheel","Touring Front Wheel","Components","Wheels"
417,"ML Road Frame-W - Yellow, 38","ML Road Frame-W","Components","Road Frames"
418,"ML Road Frame-W - Yellow, 38","ML Road Frame-W","Components","Road Frames"
419,"LL Mountain Rear Wheel","LL Mountain Rear Wheel","Components","Wheels"
420,"ML Mountain Rear Wheel","ML Mountain Rear Wheel","Components","Wheels"
421,"HL Mountain Rear Wheel","HL Mountain Rear Wheel","Components","Wheels"
422,"LL Road Rear Wheel","LL Road Rear Wheel","Components","Wheels"
423,"ML Road Rear Wheel","ML Road Rear Wheel","Components","Wheels"
424,"HL Road Rear Wheel","HL Road Rear Wheel","Components","Wheels"
425,"Touring Rear Wheel","Touring Rear Wheel","Components","Wheels"
426,"ML Mountain Frame - Black, 40","ML Mountain Frame","Components","Mountain Frames"
427,"ML Mountain Frame - Black, 44","ML Mountain Frame","Components","Mountain Frames"
428,"ML Mountain Frame - Black, 48","ML Mountain Frame","Components","Mountain Frames"
429,"ML Road Frame-W - Yellow, 40","ML Road Frame-W","Components","Road Frames"
430,"ML Road Frame-W - Yellow, 40","ML Road Frame-W","Components","Road Frames"
431,"ML Road Frame-W - Yellow, 42","ML Road Frame-W","Components","Road Frames"
432,"ML Road Frame-W - Yellow, 42","ML Road Frame-W","Components","Road Frames"
433,"ML Road Frame-W - Yellow, 44","ML Road Frame-W","Components","Road Frames"
434,"ML Road Frame-W - Yellow, 44","ML Road Frame-W","Components","Road Frames"
435,"ML Road Frame-W - Yellow, 48","ML Road Frame-W","Components","Road Frames"
436,"ML Road Frame-W - Yellow, 48","ML Road Frame-W","Components","Road Frames"
437,"HL Road Frame - Black, 62","HL Road Frame","Components","Road Frames"
438,"HL Road Frame - Black, 62","HL Road Frame","Components","Road Frames"
439,"HL Road Frame - Black, 44","HL Road Frame","Components","Road Frames"
440,"HL Road Frame - Black, 44","HL Road Frame","Components","Road Frames"
441,"HL Road Frame - Black, 48","HL Road Frame","Components","Road Frames"
442,"HL Road Frame - Black, 48","HL Road Frame","Components","Road Frames"
443,"HL Road Frame - Black, 52","HL Road Frame","Components","Road Frames"
444,"HL Road Frame - Black, 52","HL Road Frame","Components","Road Frames"
445,"Men's Sports Shorts, S","Men's Sports Shorts","Clothing","Shorts"
446,"Touring-Panniers, Large","Touring-Panniers","Accessories","Panniers"
447,"Cable Lock","Cable Lock","Accessories","Locks"
448,"Minipump","Minipump","Accessories","Pumps"
449,"Mountain Pump","Mountain Pump","Accessories","Pumps"
450,"Taillights - Battery-Powered","Taillight","Accessories","Lights"
451,"Headlights - Dual-Beam","Headlights - Dual-Beam","Accessories","Lights"
452,"Headlights - Weatherproof","Headlights - Weatherproof","Accessories","Lights"
453,"Men's Sports Shorts, M","Men's Sports Shorts","Clothing","Shorts"
454,"Men's Sports Shorts, L","Men's Sports Shorts","Clothing","Shorts"
455,"Men's Sports Shorts, XL","Men's Sports Shorts","Clothing","Shorts"
456,"Women's Tights, S","Women's Tights","Clothing","Tights"
457,"Women's Tights, M","Women's Tights","Clothing","Tights"
458,"Women's Tights, L","Women's Tights","Clothing","Tights"
459,"Men's Bib-Shorts, S","Men's Bib-Shorts","Clothing","Bib-Shorts"
460,"Men's Bib-Shorts, M","Men's Bib-Shorts","Clothing","Bib-Shorts"
461,"Men's Bib-Shorts, L","Men's Bib-Shorts","Clothing","Bib-Shorts"
462,"Half-Finger Gloves, S","Half-Finger Gloves","Clothing","Gloves"
463,"Half-Finger Gloves, S","Half-Finger Gloves","Clothing","Gloves"
464,"Half-Finger Gloves, M","Half-Finger Gloves","Clothing","Gloves"
465,"Half-Finger Gloves, M","Half-Finger Gloves","Clothing","Gloves"
466,"Half-Finger Gloves, L","Half-Finger Gloves","Clothing","Gloves"
467,"Half-Finger Gloves, L","Half-Finger Gloves","Clothing","Gloves"
468,"Full-Finger Gloves, S","Full-Finger Gloves","Clothing","Gloves"
469,"Full-Finger Gloves, M","Full-Finger Gloves","Clothing","Gloves"
470,"Full-Finger Gloves, L","Full-Finger Gloves","Clothing","Gloves"
471,"Classic Vest, S","Classic Vest","Clothing","Vests"
472,"Classic Vest, M","Classic Vest","Clothing","Vests"
473,"Classic Vest, L","Classic Vest","Clothing","Vests"
474,"Women's Mountain Shorts, S","Women's Mountain Shorts","Clothing","Shorts"
475,"Women's Mountain Shorts, M","Women's Mountain Shorts","Clothing","Shorts"
476,"Women's Mountain Shorts, L","Women's Mountain Shorts","Clothing","Shorts"
477,"Water Bottle - 30 oz.","Water Bottle","Accessories","Bottles and Cages"
478,"Mountain Bottle Cage","Mountain Bottle Cage","Accessories","Bottles and Cages"
479,"Road Bottle Cage","Road Bottle Cage","Accessories","Bottles and Cages"
480,"Patch Kit/8 Patches","Patch kit","Accessories","Tires and Tubes"
481,"Racing Socks, M","Racing Socks","Clothing","Socks"
482,"Racing Socks, L","Racing Socks","Clothing","Socks"
483,"Hitch Rack - 4-Bike","Hitch Rack - 4-Bike","Accessories","Bike Racks"
484,"Bike Wash - Dissolver","Bike Wash","Accessories","Cleaners"
485,"Fender Set - Mountain","Fender Set - Mountain","Accessories","Fenders"
486,"All-Purpose Bike Stand","All-Purpose Bike Stand","Accessories","Bike Stands"
487,"Hydration Pack - 70 oz.","Hydration Pack","Accessories","Hydration Packs"
488,"Short-Sleeve Classic Jersey, S","Short-Sleeve Classic Jersey","Clothing","Jerseys"
489,"Short-Sleeve Classic Jersey, M","Short-Sleeve Classic Jersey","Clothing","Jerseys"
490,"Short-Sleeve Classic Jersey, L","Short-Sleeve Classic Jersey","Clothing","Jerseys"
491,"Short-Sleeve Classic Jersey, XL","Short-Sleeve Classic Jersey","Clothing","Jerseys"
492,"HL Touring Frame - Yellow, 60","HL Touring Frame","Components","Touring Frames"
493,"LL Touring Frame - Yellow, 62","LL Touring Frame","Components","Touring Frames"
494,"HL Touring Frame - Yellow, 46","HL Touring Frame","Components","Touring Frames"
495,"HL Touring Frame - Yellow, 50","HL Touring Frame","Components","Touring Frames"
496,"HL Touring Frame - Yellow, 54","HL Touring Frame","Components","Touring Frames"
497,"HL Touring Frame - Blue, 46","HL Touring Frame","Components","Touring Frames"
498,"HL Touring Frame - Blue, 50","HL Touring Frame","Components","Touring Frames"
499,"HL Touring Frame - Blue, 54","HL Touring Frame","Components","Touring Frames"
500,"HL Touring Frame - Blue, 60","HL Touring Frame","Components","Touring Frames"
501,"Rear Derailleur","Rear Derailleur","Components","Derailleurs"
502,"LL Touring Frame - Blue, 50","LL Touring Frame","Components","Touring Frames"
503,"LL Touring Frame - Blue, 54","LL Touring Frame","Components","Touring Frames"
504,"LL Touring Frame - Blue, 58","LL Touring Frame","Components","Touring Frames"
505,"LL Touring Frame - Blue, 62","LL Touring Frame","Components","Touring Frames"
506,"LL Touring Frame - Yellow, 44","LL Touring Frame","Components","Touring Frames"
507,"LL Touring Frame - Yellow, 50","LL Touring Frame","Components","Touring Frames"
508,"LL Touring Frame - Yellow, 54","LL Touring Frame","Components","Touring Frames"
509,"LL Touring Frame - Yellow, 58","LL Touring Frame","Components","Touring Frames"
510,"LL Touring Frame - Blue, 44","LL Touring Frame","Components","Touring Frames"
511,"ML Mountain Frame-W - Silver, 40","ML Mountain Frame-W","Components","Mountain Frames"
512,"ML Mountain Frame-W - Silver, 42","ML Mountain Frame-W","Components","Mountain Frames"
513,"ML Mountain Frame-W - Silver, 46","ML Mountain Frame-W","Components","Mountain Frames"
514,"Rear Brakes","Rear Brakes","Components","Brakes"
515,"LL Mountain Seat/Saddle","LL Mountain Seat/Saddle 2","Components","Saddles"
516,"ML Mountain Seat/Saddle","ML Mountain Seat/Saddle 2","Components","Saddles"
517,"HL Mountain Seat/Saddle","HL Mountain Seat/Saddle 2","Components","Saddles"
518,"LL Road Seat/Saddle","LL Road Seat/Saddle 1","Components","Saddles"
519,"ML Road Seat/Saddle","ML Road Seat/Saddle 2","Components","Saddles"
520,"HL Road Seat/Saddle","HL Road Seat/Saddle 2","Components","Saddles"
521,"LL Touring Seat/Saddle","LL Touring Seat/Saddle","Components","Saddles"
522,"ML Touring Seat/Saddle","ML Touring Seat/Saddle","Components","Saddles"
523,"HL Touring Seat/Saddle","HL Touring Seat/Saddle","Components","Saddles"
524,"LL Mountain Frame - Silver, 42","LL Mountain Frame","Components","Mountain Frames"
525,"LL Mountain Frame - Silver, 44","LL Mountain Frame","Components","Mountain Frames"
526,"LL Mountain Frame - Silver, 48","LL Mountain Frame","Components","Mountain Frames"
527,"LL Mountain Frame - Silver, 52","LL Mountain Frame","Components","Mountain Frames"
528,"Mountain Tire Tube","Mountain Tire Tube","Accessories","Tires and Tubes"
529,"Road Tire Tube","Road Tire Tube","Accessories","Tires and Tubes"
530,"Touring Tire Tube","Touring Tire Tube","Accessories","Tires and Tubes"
531,"LL Mountain Frame - Black, 42","LL Mountain Frame","Components","Mountain Frames"
532,"LL Mountain Frame - Black, 44","LL Mountain Frame","Components","Mountain Frames"
533,"LL Mountain Frame - Black, 48","LL Mountain Frame","Components","Mountain Frames"
534,"LL Mountain Frame - Black, 52","LL Mountain Frame","Components","Mountain Frames"
535,"LL Mountain Tire","LL Mountain Tire","Accessories","Tires and Tubes"
536,"ML Mountain Tire","ML Mountain Tire","Accessories","Tires and Tubes"
537,"HL Mountain Tire","HL Mountain Tire","Accessories","Tires and Tubes"
538,"LL Road Tire","LL Road Tire","Accessories","Tires and Tubes"
539,"ML Road Tire","ML Road Tire","Accessories","Tires and Tubes"
540,"HL Road Tire","HL Road Tire","Accessories","Tires and Tubes"
541,"Touring Tire","Touring Tire","Accessories","Tires and Tubes"
542,"LL Mountain Pedal","LL Mountain Pedal","Components","Pedals"
543,"ML Mountain Pedal","ML Mountain Pedal","Components","Pedals"
544,"HL Mountain Pedal","HL Mountain Pedal","Components","Pedals"
545,"LL Road Pedal","LL Road Pedal","Components","Pedals"
546,"ML Road Pedal","ML Road Pedal","Components","Pedals"
547,"HL Road Pedal","HL Road Pedal","Components","Pedals"
548,"Touring Pedal","Touring Pedal","Components","Pedals"
549,"ML Mountain Frame-W - Silver, 38","ML Mountain Frame-W","Components","Mountain Frames"
550,"LL Mountain Frame - Black, 40","LL Mountain Frame","Components","Mountain Frames"
551,"LL Mountain Frame - Silver, 40","LL Mountain Frame","Components","Mountain Frames"
552,"Front Derailleur","Front Derailleur","Components","Derailleurs"
553,"LL Touring Handlebars","LL Touring Handlebars","Components","Handlebars"
554,"HL Touring Handlebars","HL Touring Handlebars","Components","Handlebars"
555,"Front Brakes","Front Brakes","Components","Brakes"
556,"LL Crankset","LL Crankset","Components","Cranksets"
557,"ML Crankset","ML Crankset","Components","Cranksets"
558,"HL Crankset","HL Crankset","Components","Cranksets"
559,"Chain","Chain","Components","Chains"
560,"Touring-2000 Blue, 60","Touring-2000","Bikes","Touring Bikes"
561,"Touring-1000 Yellow, 46","Touring-1000","Bikes","Touring Bikes"
562,"Touring-1000 Yellow, 50","Touring-1000","Bikes","Touring Bikes"
563,"Touring-1000 Yellow, 54","Touring-1000","Bikes","Touring Bikes"
564,"Touring-1000 Yellow, 60","Touring-1000","Bikes","Touring Bikes"
565,"Touring-3000 Blue, 54","Touring-3000","Bikes","Touring Bikes"
566,"Touring-3000 Blue, 58","Touring-3000","Bikes","Touring Bikes"
567,"Touring-3000 Blue, 62","Touring-3000","Bikes","Touring Bikes"
568,"Touring-3000 Yellow, 44","Touring-3000","Bikes","Touring Bikes"
569,"Touring-3000 Yellow, 50","Touring-3000","Bikes","Touring Bikes"
570,"Touring-3000 Yellow, 54","Touring-3000","Bikes","Touring Bikes"
571,"Touring-3000 Yellow, 58","Touring-3000","Bikes","Touring Bikes"
572,"Touring-3000 Yellow, 62","Touring-3000","Bikes","Touring Bikes"
573,"Touring-1000 Blue, 46","Touring-1000","Bikes","Touring Bikes"
574,"Touring-1000 Blue, 50","Touring-1000","Bikes","Touring Bikes"
575,"Touring-1000 Blue, 54","Touring-1000","Bikes","Touring Bikes"
576,"Touring-1000 Blue, 60","Touring-1000","Bikes","Touring Bikes"
577,"Touring-2000 Blue, 46","Touring-2000","Bikes","Touring Bikes"
578,"Touring-2000 Blue, 50","Touring-2000","Bikes","Touring Bikes"
579,"Touring-2000 Blue, 54","Touring-2000","Bikes","Touring Bikes"
580,"Road-350-W Yellow, 40","Road-350-W","Bikes","Road Bikes"
581,"Road-350-W Yellow, 42","Road-350-W","Bikes","Road Bikes"
582,"Road-350-W Yellow, 44","Road-350-W","Bikes","Road Bikes"
583,"Road-350-W Yellow, 48","Road-350-W","Bikes","Road Bikes"
584,"Road-750 Black, 58","Road-750","Bikes","Road Bikes"
585,"Touring-3000 Blue, 44","Touring-3000","Bikes","Touring Bikes"
586,"Touring-3000 Blue, 50","Touring-3000","Bikes","Touring Bikes"
587,"Mountain-400-W Silver, 38","Mountain-400-W","Bikes","Mountain Bikes"
588,"Mountain-400-W Silver, 40","Mountain-400-W","Bikes","Mountain Bikes"
589,"Mountain-400-W Silver, 42","Mountain-400-W","Bikes","Mountain Bikes"
590,"Mountain-400-W Silver, 46","Mountain-400-W","Bikes","Mountain Bikes"
591,"Mountain-500 Silver, 40","Mountain-500","Bikes","Mountain Bikes"
592,"Mountain-500 Silver, 42","Mountain-500","Bikes","Mountain Bikes"
593,"Mountain-500 Silver, 44","Mountain-500","Bikes","Mountain Bikes"
594,"Mountain-500 Silver, 48","Mountain-500","Bikes","Mountain Bikes"
595,"Mountain-500 Silver, 52","Mountain-500","Bikes","Mountain Bikes"
596,"Mountain-500 Black, 40","Mountain-500","Bikes","Mountain Bikes"
597,"Mountain-500 Black, 42","Mountain-500","Bikes","Mountain Bikes"
598,"Mountain-500 Black, 44","Mountain-500","Bikes","Mountain Bikes"
599,"Mountain-500 Black, 48","Mountain-500","Bikes","Mountain Bikes"
600,"Mountain-500 Black, 52","Mountain-500","Bikes","Mountain Bikes"
601,"LL Bottom Bracket","LL Bottom Bracket","Components","Bottom Brackets"
602,"ML Bottom Bracket","ML Bottom Bracket","Components","Bottom Brackets"
603,"HL Bottom Bracket","HL Bottom Bracket","Components","Bottom Brackets"
604,"Road-750 Black, 44","Road-750","Bikes","Road Bikes"
605,"Road-750 Black, 48","Road-750","Bikes","Road Bikes"
606,"Road-750 Black, 52","Road-750","Bikes","Road Bikes"
